"city_name","title_st_session","data_enrollment","start_special_training","end_special_training","subscriber_users","completed_users","redeemed_users"
"Palermo","Let's MUV!!","2019-04-15 09:00:00","2019-04-15 09:00:00","2019-04-25 22:00:00",14,4,0
"Palermo","BURN IT","2019-05-02 07:00:00","2019-05-02 07:00:00","2019-05-31 21:59:00",15,11,2
"Palermo","Walk for the May-Day concert","2019-05-13 12:00:00","2019-05-13 12:00:00","2019-05-23 23:00:00",15,11,2
"Palermo","From Dusk till Dawn","2019-05-20 05:00:00","2019-05-20 05:00:00","2019-05-26 22:00:00",10,5,0
"Palermo","Food for thoughts","2019-05-31 09:00:00","2019-05-31 09:00:00","2019-06-09 22:00:00",15,9,7
"Palermo","MUV to read","2019-06-07 09:00:00","2019-06-07 09:00:00","2019-06-09 23:00:00",15,9,1
"Helsinki","Time to go to sauna!","2019-06-17 07:00:00","2019-06-17 07:00:00","2019-07-07 22:00:00",41,14,6
"Gent","Kick start your day!","2019-06-04 12:00:00","2019-06-04 12:00:00","2019-06-30 23:00:00",7,0,0
"Palermo","Sustainable nighlife, happy hour guaranteed","2019-06-28 08:55:00","2019-06-28 08:55:00","2019-07-09 00:00:00",10,9,5
"Palermo","Explore the  Historic Center","2019-06-20 08:00:00","2019-06-20 08:00:00","2019-06-28 22:00:00",10,10,3
"Palermo","Go to the MASSIMO ","2019-07-14 08:00:00","2019-07-14 08:00:00","2019-07-18 22:00:00",10,2,0
"Barcelona","Enjoy the best Fitness at the CNSA","2019-07-01 07:27:00","2019-07-01 07:27:00","2019-07-31 22:00:00",5,3,0
"Barcelona","Keep MUVing for Sant Andreu","2019-07-16 08:00:00","2019-07-16 08:00:00","2019-07-28 22:00:00",3,3,0
"Teresina","MR Peças Challenge","2019-07-25 08:00:00","2019-07-25 08:00:00","2019-08-03 08:00:00",17,1,1
"Barcelona","Be healthy and MUVe yourself safe!","2019-09-03 09:00:00","2019-09-03 09:00:00","2019-09-08 22:00:00",6,4,1
"Palermo","Too hot during the day? Go to the brewer at night! ","2019-08-05 08:00:00","2019-08-05 08:00:00","2019-08-27 22:00:00",10,5,5
"Teresina","Calorias da Gota","2019-08-05 08:00:00","2019-08-05 08:00:00","2019-08-09 22:00:00",28,5,3
"Teresina","Tomar café eu vou, café não costuma faiá.","2019-08-11 20:00:00","2019-08-11 20:00:00","2019-08-18 08:00:00",33,3,1
"Teresina","Volta da Frei","2019-08-01 08:00:00","2019-08-01 08:00:00","2019-08-18 08:00:00",0,0,0
"Teresina","Cajuíne-se!","2019-08-26 10:00:00","2019-08-26 10:00:00","2019-08-28 22:00:00",18,4,1
"Teresina","Só Love, só Love!","2019-09-02 08:00:00","2019-09-02 08:00:00","2019-09-16 23:00:00",14,4,0
"Palermo","MUV to new opportunities","2019-09-10 08:00:00","2019-09-10 08:00:00","2019-09-16 22:00:00",7,0,0
"Barcelona","Take care of yourself!","2019-09-10 08:00:00","2019-09-10 08:00:00","2019-09-17 22:00:00",2,1,0
"Fundão","MUVimento Chocalhos","2019-09-13 08:00:00","2019-09-13 08:00:00","2019-09-20 17:00:00",6,5,0
"Fundão","It's Mobility Week!","2019-09-16 08:00:00","2019-09-16 08:00:00","2019-09-21 22:00:00",7,1,1
"Palermo","Giretto d'Italia 2019","2019-09-16 09:00:00","2019-09-16 09:00:00","2019-09-19 10:00:00",9,3,0
"Palermo","Mobilità Agrodolce 2019","2019-09-18 08:30:00","2019-09-18 08:30:00","2019-09-21 12:00:00",21,2,0
"Palermo","Street Parade","2019-09-16 08:40:00","2019-09-16 08:40:00","2019-09-20 23:00:00",13,8,1
"Milano","Milano Bike Week","2019-09-12 16:00:00","2019-09-12 16:00:00","2019-09-20 08:00:00",1,1,0
"Teresina","Passeio Ciclístico CAIS-PM-PI","2019-09-17 11:00:00","2019-09-17 11:00:00","2019-09-22 08:00:00",7,0,0
"Palermo","Movimento a ritmo africano","2019-09-25 08:00:00","2019-09-25 08:00:00","2019-10-15 22:00:00",9,5,2
"Palermo","Al mercato per una mattonella (che non si mangia)!","2019-10-06 08:00:00","2019-10-06 08:00:00","2019-10-11 22:00:00",8,1,0
"Barcelona","Take part at the workshop to be rewarded!","2019-09-23 07:55:00","2019-09-23 07:55:00","2019-09-28 00:00:00",4,2,1
"Barcelona","Stunning Sant Andreu","2019-10-03 07:55:00","2019-10-03 07:55:00","2019-10-05 18:00:00",2,1,0