"id","name"
"_2_17","Move once by walking or biking"
"_2_18","Do a trip of at least 400 points"
"_2_19","Do a trip during the weekend (Saturday or Sunday)"
"_3_20","Do a routinary trip"
"_3_21","Do at least two trips in a single day"
"_3_22","Do at least three trips in a week"
"_4_23","Do a routinary trip twice in a day"
"_4_25","Do a trip by night (after 21:00)"
"_4_26","Score at least 1.000 points in a single day"
"_5_27","Do a routinary trip three days in a row"
"_5_28","Score at least 4.000 points per week"
"_5_29","Do a trip in bad weather conditions"
"_5_30","MUV five days in a row"
"_6_31","Move once by public transport or carpooling"
"_7_36","Do at least ten trips in a week"
"_8_37","Complete three trips in bad weather conditions"
"_8_38","MUV seven days in a row"
"_8_39","Do a trip in the early morning (from 06:00 to 07:30)"
"_8_40","Do two trips during peak hours"
"_9_41","Do at least 10 walking trips in one week"
"_9_42","Score at least 12.000 points in one month"
"_9_43","Do 100 trips"
"_9_44","MUV ten days in a row"
"_6_33","Do two trips during the weekend (one on Saturday and one on Sunday)"
"_7_35","Do two different routinary trips in a single day"
"_4_24","MUV three days in a row"
"_6_32","Score at least 2000 points in a 48-hour timeframe"
"_7_47","2.2.4 Bonus #2"
"_7_34","Do a routinary trip five days in a row"
"_2_49","1.1.4 Bonus #1"
"_4_50","1.3.5 Bonus #3"
"_6_51","2.1.4 Bonus #1"
"_8_52","2.3.5 Bonus #3"
"_3_45","1.2.4 Bonus #2"
"_5_46","1.4.5 Bonus #4"
"_9_48","2.4.5 Bonus #4"