id;text_question;created_at;updated_at;quiz_id
1;MUV stands for...?;2018-10-15 08:43:34.740318;2018-10-15 08:43:34.740335;1
2;Which of the following Avatars does not exist (yet)?;2018-10-15 08:43:34.835072;2018-10-15 08:43:34.835090;1
3;What is the icon used in the MUV feed for multiple trips?;2018-10-15 08:43:34.844141;2018-10-15 08:43:34.844171;1
4;According to the Tomtom Traffic Index 2017, which city is most congested by traffic?;2018-10-15 08:47:13.767685;2018-10-15 08:47:13.767710;2
5;Experts suggest taking 10.000 steps a day for health benefits. But how much do they exactly correspond to?;2018-10-15 08:47:13.778056;2018-10-15 08:47:13.778122;2
6;How much of the world's oil is used for transport?;2018-10-15 08:47:13.787985;2018-10-15 08:47:13.788000;2
7;Who inspired the master who guides you through the training sessions?;2018-10-15 08:56:36.416146;2018-10-15 08:56:36.416165;3
8;Which of these cities isn't an MUV Pilot City?;2018-10-15 08:56:36.426188;2018-10-15 08:56:36.426206;3
9;What is the name of the research project from which MUV was born?;2018-10-15 08:56:36.435754;2018-10-15 08:56:36.435771;3
10;How much of the world's CO2 emissions are due to urban vehicles?;2018-10-15 08:58:53.961685;2018-10-15 08:58:53.961700;4
11;Which of these factors does not affect the calculation of calories burned by cycling for a certain period of time?;2018-10-15 08:58:53.973265;2018-10-15 08:58:53.973282;4
12;Which of these cities has the longest cycle path system, covering a total of more than 560 km?;2018-10-15 08:58:53.983618;2018-10-15 08:58:53.983633;4
13;How many cities battled each other out during the MUV's first Sustainable City Tournament?;;;5
14;Which city won the MUV's first Sustainable City Tournament?;;;5
15;How many kilos of CO2 were saved globally during the tournament?;;;5
16;Now MUV' avatars have names! What's the astronaut's one?;;;6
17;What is depicted inside the badge of the Portuguese city of Fundao?;;;6
18;Do you know what happens if you use MUV when you travel on the subway?;;;6