id;text_question;created_at;updated_at;survey_id
1;How do you rate public transport in your city?;2018-11-07 15:32:29.266776;2018-11-07 15:32:29.266794;1
2;What do you think about it?;2018-11-07 15:32:29.383692;2018-11-07 15:32:29.383715;1
3;How should the service be improved?;2018-11-07 15:32:29.393368;2018-11-07 15:32:29.393385;1
4;What do you think about the MUV app so far?;2018-11-07 15:33:11.385264;2018-11-07 15:33:11.385284;2
5;What do you like the most?;2018-11-07 15:33:11.400534;2018-11-07 15:33:11.400550;2
6;What do you want to see in the future?;2018-11-07 15:33:11.416857;2018-11-07 15:33:11.416872;2
7;Are you a carpooling lover?;2018-11-07 15:33:33.612279;2018-11-07 15:33:33.612300;3
8;Which of these sentences represents you most?;2018-11-07 15:33:33.624014;2018-11-07 15:33:33.624030;3
9;What stresses you most while you're driving?;2018-11-07 15:33:33.636096;2018-11-07 15:33:33.636112;3
10;How do you usually move when you're not using MUV?;2018-11-07 15:33:59.548746;2018-11-07 15:33:59.548762;4
11;It's been a while since you downloaded MUV, do you think it's addictive enough to keep using it in the next few months?;2018-11-07 15:33:59.560826;2018-11-07 15:33:59.560841;4
12;Which feature would you like to see implemented in the future?;2018-11-07 15:33:59.571619;2018-11-07 15:33:59.571636;4
13;What type of sustainable transport would you like to see supported by MUV?;;;5
14;What do you think about ride sharing services?;;;5
15;Which vehicle sharing service do you use most?;;;5
16;"Did you use the ""invite your friends"" feature to share MUV with the people you love and thus be rewarded?";;;6
17;What is your favorite feature among the last ones we introduced?;;;6
18;We worked hard in the past few months in order to improve the MUV experience, what do you think about that?;;;6